Item_Number,Onderdeel,Lengte,Breedte,Dikte,Materiaal,Extra_Info
48,VL03,340,337,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
49,VL04,340,337,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
50,VL04,468.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
51,VL05,468.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
52,AFWZ_L,1750,395,19MDF,19mm AFQMxB B=20mm overmaatStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
53,AFWZ_L,2638,396,19MDF,19mm AFQMxB L+B=20mm overmaatStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
54,AFWZ_R,569,396,19MDF,19mm AFQMxB L+B=20mm overmaatStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
55,AFWZ_R,2038,396,19MDF,19mm AFQMxB L+B=20mm overmaatStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
56,AFWZ_R,1750,395,19MDF,19mm AFQMxB B=20mm overmaatStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
57,BB,1000,469,19MDF,19mm AFQMxB BorstellenStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
58,DR_L01,1100,484.667,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
59,DR_L01,2545,525,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
60,DR_L02,599,484.667,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
61,DR_R03,599,484.667,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
62,DR_R04,1100,484.667,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
63,DR_R05,599,484.667,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Page 5 of 360411_MO07202-7203_TV-wand (7-7)
64,LF_01,981,250,19MDF,19mm AFQMxB BorstellenStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
65,LF_01,1000,243.5,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
66,LF_02,981,250,19MDF,19mm AFQMxB BorstellenStandaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
67,LF_02,1000,243.5,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
68,LF_03,1000,243.5,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
69,LF_04,1000,243.5,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
70,LF_05,1000,243.5,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
