page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
13,3,RZ,,3,503,469,,,,,,,3 RZ 503 469 19 eik eik eik Borstellen,False
13,4,BC,HSP,4,19,987,,,,,Standaard,,4 BC HSP 19mm BxB 987 446 19 Standaard eik eik eik eik,False
13,5,BB,MDF,5,19,1000,,,,,Standaard,,5 BB MDF 19mm AFQMxB 1000 469 19 Standaard eik eik eik eik Borstellen,False
13,6,LF_01,MDF,6,01,19,,,,,Standaard,,6 LF_01 MDF 19mm AFQMxB 981 250 19 Standaard eik eik eik eik Borstellen,False
13,7,LF_02,MDF,7,02,19,,,,,Standaard,,7 LF_02 MDF 19mm AFQMxB 981 250 19 Standaard eik eik eik eik Borstellen,False
13,8,RG,MDF,8,5,975,,,,,,,8 RG MDF 5mm BxB 975 491 5,False
13,1,Glasdeur,Dummy,1,21,1962,,,,,Te bestellen,,1 Glasdeur Dummy 21mm Glasdeur 1962 375 21 Te bestellenDummy Dummy Dummy Dummy,True
14,0,LZ,HSP 19mm BxB,1978,374,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LZ HSP 19mm BxB 1978 374 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,4,OC,HSP 19mm BxB,340,374,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"4 OC HSP 19mm BxB 340 374 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
14,2,RZ,HSP 19mm BxB,1978,374,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," RZ HSP 19mm BxB 1978 374 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,6,VL01,HSP 19mm BxB,340,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"6 VL01 HSP 19mm BxB 340 337 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
14,4,VL02,HSP 19mm BxB,340,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL02 HSP 19mm BxB 340 337 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
14,8,VL03,HSP 19mm BxB,340,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"8 VL03 HSP 19mm BxB 340 337 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
14,6,VL04,HSP 19mm BxB,340,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL04 HSP 19mm BxB 340 337 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
14,10,RG,MDF 5mm BxB,1950,350,5,"Reichenbach
er",,,,,,"10 RG MDF 5mm BxB 1950 350 5 Reichenbach
er     ",False
14,0,Glasdeur,Dummy 21mm Glasdeur,1100,484.667,21,Te bestellen,Dummy,Dummy,Dummy,Dummy,, Glasdeur Dummy 21mm Glasdeur 1100 484.667 21 Te bestellen Dummy Dummy Dummy Dummy ,True
14,2,BC,HSP 19mm BxB,1428,374,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"2 BC HSP 19mm BxB 1428 374 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
14,2,LL01,HSP 19mm BxB,458.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LL01 HSP 19mm BxB 458.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,4,LL02,HSP 19mm BxB,458.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"4 LL02 HSP 19mm BxB 458.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,4,LL03,HSP 19mm BxB,458.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LL03 HSP 19mm BxB 458.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,6,LL04,HSP 19mm BxB,466.667,237,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"6 LL04 HSP 19mm BxB 466.667 237 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,6,LL05,HSP 19mm BxB,458.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LL05 HSP 19mm BxB 458.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,8,LL06,HSP 19mm BxB,458.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"8 LL06 HSP 19mm BxB 458.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,8,LL07,HSP 19mm BxB,458.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LL07 HSP 19mm BxB 458.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
14,3,LZ,HSP,3,19,1978,,,,,Standaard,,3 LZ HSP 19mm BxB 1978 374 19 Standaard eik eik eik eik,False
14,4,OC,HSP,4,19,340,,,,,Standaard,,4 OC HSP 19mm BxB 340 374 19 Standaard eik eik,False
14,5,RZ,HSP,5,19,1978,,,,,Standaard,,5 RZ HSP 19mm BxB 1978 374 19 Standaard eik eik eik eik,False
14,6,VL01,HSP,6,01,19,,,,,Standaard,,6 VL01 HSP 19mm BxB 340 337 19 Standaard eik eik,False
14,7,VL02,HSP,7,02,19,,,,,Standaard,,7 VL02 HSP 19mm BxB 340 337 19 Standaard eik eik,False
14,8,VL03,HSP,8,03,19,,,,,Standaard,,8 VL03 HSP 19mm BxB 340 337 19 Standaard eik eik,False
14,9,VL04,HSP,9,04,19,,,,,Standaard,,9 VL04 HSP 19mm BxB 340 337 19 Standaard eik eik,False
14,10,RG,MDF,10,5,1950,,,,,,,10 RG MDF 5mm BxB 1950 350 5,False
14,1,Glasdeur,Dummy,1,21,1100,,,,,Te bestellen,,1 Glasdeur Dummy 21mm Glasdeur 1100 484.667 21 Te bestellenDummy Dummy Dummy Dummy,True
14,2,BC,HSP,2,19,1428,,,,,Standaard,,2 BC HSP 19mm BxB 1428 374 19 Standaard eik eik,False
14,3,LL01,HSP,3,01,19,,,,,Standaard,,3 LL01 HSP 19mm BxB 458.667 330 19 Standaard eik eik eik eik,False
14,4,LL02,HSP,4,02,19,,,,,Standaard,,4 LL02 HSP 19mm BxB 458.667 330 19 Standaard eik eik eik eik,False
14,5,LL03,HSP,5,03,19,,,,,Standaard,,5 LL03 HSP 19mm BxB 458.667 330 19 Standaard eik eik eik eik,False
14,6,LL04,HSP,6,04,19,,,,,Standaard,,6 LL04 HSP 19mm BxB 466.667 237 19 Standaard eik eik eik eik,False
14,7,LL05,HSP,7,05,19,,,,,Standaard,,7 LL05 HSP 19mm BxB 458.667 330 19 Standaard eik eik eik eik,False
14,8,LL06,HSP,8,06,19,,,,,Standaard,,8 LL06 HSP 19mm BxB 458.667 330 19 Standaard eik eik eik eik,False
14,9,LL07,HSP,9,07,19,,,,,Standaard,,9 LL07 HSP 19mm BxB 458.667 330 19 Standaard eik eik eik eik,False
15,12,RZ,HSP 19mm BxB,1745,375,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"12 RZ HSP 19mm BxB 1745 375 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Hoek recht frezen, met de hand afsjangen",False
15,1,TZ_01,HSP 19mm BxB,1694,339,19,Standaard,,"Fineer
eik
1mm",,,," TZ_01 HSP 19mm BxB 1694 339 19 Standaard  Fineer
eik
1mm   ",False
15,14,TZ_02,HSP 19mm BxB,1694,339,19,Standaard,"Fineer
eik
1mm",,,,,"14 TZ_02 HSP 19mm BxB 1694 339 19 Standaard Fineer
eik
1mm    Hoek recht frezen, met de hand afsjangen",False
15,3,VL01,HSP 19mm BxB,460.667,339,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL01 HSP 19mm BxB 460.667 339 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
15,16,VL02,HSP 19mm BxB,468.667,339,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"16 VL02 HSP 19mm BxB 468.667 339 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
15,5,VL03,HSP 19mm BxB,460.667,339,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL03 HSP 19mm BxB 460.667 339 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
15,18,VL04,HSP 19mm BxB,468.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"18 VL04 HSP 19mm BxB 468.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
15,7,VL05,HSP 19mm BxB,468.667,330,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL05 HSP 19mm BxB 468.667 330 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
15,20,Plint Dressing A,Massief_PM018x18PD,1428,18,18,"Gannomat
Massief",,,,,,"20 Plint Dressing A Massief_PM018x18PD 1428 18 18 Gannomat
Massief     ",False
15,9,Plint Dressing V,Massief_PM018x18PD,1428,18,18,"Gannomat
Massief",,,,,," Plint Dressing V Massief_PM018x18PD 1428 18 18 Gannomat
Massief     ",False
15,22,DR_L01,MDF 19mm AFQMxB,1100,484.667,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"22 DR_L01 MDF 19mm AFQMxB 1100 484.667 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
15,11,DR_L02,MDF 19mm AFQMxB,599,484.667,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," DR_L02 MDF 19mm AFQMxB 599 484.667 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
15,24,DR_R03,MDF 19mm AFQMxB,599,484.667,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"24 DR_R03 MDF 19mm AFQMxB 599 484.667 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
15,13,DR_R04,MDF 19mm AFQMxB,1100,484.667,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," DR_R04 MDF 19mm AFQMxB 1100 484.667 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
15,26,DR_R05,MDF 19mm AFQMxB,599,484.667,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"26 DR_R05 MDF 19mm AFQMxB 599 484.667 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
15,15,RG01,MDF 5mm BxB,1706,476.167,5,"Reichenbach
er",,,,,," RG01 MDF 5mm BxB 1706 476.167 5 Reichenbach
er     ",False
15,28,RG02,MDF 5mm BxB,1706,487.667,5,"Reichenbach
er",,,,,,"28 RG02 MDF 5mm BxB 1706 487.667 5 Reichenbach
er     ",False
15,17,RG03,MDF 5mm BxB,1706,476.167,5,"Reichenbach
er",,,,,," RG03 MDF 5mm BxB 1706 476.167 5 Reichenbach
er     ",False
15,BC,HSP 19mm BxB,493,375,19,Standaard,,,,,,,"BC HSP 19mm BxB 493 375 19 Standaard Fineer
eik
1mm Fineer
eik
1mm  ",False
15,12,RZ,HSP,12,19,1745,,,,,Standaard,,"12 RZ HSP 19mm BxB 1745 375 19 Standaard eik eik eik eik Hoek recht frezen, met de hand afsjangen",False
15,13,TZ_01,HSP,13,01,19,,,,,Standaard,,"13 TZ_01 HSP 19mm BxB 1694 339 19 Standaard eik Hoek recht frezen, met de hand afsjangen",False
15,14,TZ_02,HSP,14,02,19,,,,,Standaard,,"14 TZ_02 HSP 19mm BxB 1694 339 19 Standaard eik Hoek recht frezen, met de hand afsjangen",False
15,15,VL01,HSP,15,01,19,,,,,Standaard,,15 VL01 HSP 19mm BxB 460.667 339 19 Standaard eik eik,False
15,16,VL02,HSP,16,02,19,,,,,Standaard,,16 VL02 HSP 19mm BxB 468.667 339 19 Standaard eik eik,False
15,17,VL03,HSP,17,03,19,,,,,Standaard,,17 VL03 HSP 19mm BxB 460.667 339 19 Standaard eik eik,False
15,18,VL04,HSP,18,04,19,,,,,Standaard,,18 VL04 HSP 19mm BxB 468.667 330 19 Standaard eik eik,False
15,19,VL05,HSP,19,05,19,,,,,Standaard,,19 VL05 HSP 19mm BxB 468.667 330 19 Standaard eik eik,False
15,20,Plint,Dressing,20,018,18,,,,,,,20 Plint Dressing A Massief_PM018x18PD 1428 18 18,False
15,22,DR_L01,MDF,22,01,19,,,,,Standaard,,22 DR_L01 MDF 19mm AFQMxB 1100 484.667 19 Standaard eik eik eik eik,False
15,23,DR_L02,MDF,23,02,19,,,,,Standaard,,23 DR_L02 MDF 19mm AFQMxB 599 484.667 19 Standaard eik eik eik eik,False
15,24,DR_R03,MDF,24,03,19,,,,,Standaard,,24 DR_R03 MDF 19mm AFQMxB 599 484.667 19 Standaard eik eik eik eik,False
15,25,DR_R04,MDF,25,04,19,,,,,Standaard,,25 DR_R04 MDF 19mm AFQMxB 1100 484.667 19 Standaard eik eik eik eik,False
15,26,DR_R05,MDF,26,05,19,,,,,Standaard,,26 DR_R05 MDF 19mm AFQMxB 599 484.667 19 Standaard eik eik eik eik,False
15,27,RG01,MDF,27,01,5,,,,,,,27 RG01 MDF 5mm BxB 1706 476.167 5,False
15,28,RG02,MDF,28,02,5,,,,,,,28 RG02 MDF 5mm BxB 1706 487.667 5,False
15,29,RG03,MDF,29,03,5,,,,,,,29 RG03 MDF 5mm BxB 1706 476.167 5,False
15,1,BC,HSP,1,19,493,,,,,Standaard,,1 BC HSP 19mm BxB 493 375 19 Standaard eik eik,False
16,2,LL01,HSP 19mm BxB,491,331,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"2 LL01 HSP 19mm BxB 491 331 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
16,1,LL02,HSP 19mm BxB,491,331,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LL02 HSP 19mm BxB 491 331 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
16,4,LL03,HSP 19mm BxB,491,331,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"4 LL03 HSP 19mm BxB 491 331 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
16,3,LZ,HSP 19mm BxB,2573,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LZ HSP 19mm BxB 2573 376 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
16,6,OC,HSP 19mm BxB,493,355,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,,"6 OC HSP 19mm BxB 493 355 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
16,5,RZ,HSP 19mm BxB,2573,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," RZ HSP 19mm BxB 2573 376 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
16,8,VL01,HSP 19mm BxB,493,331,19,Standaard,"Fineer
eik
1mm",,,,,"8 VL01 HSP 19mm BxB 493 331 19 Standaard Fineer
eik
1mm    ",False
16,7,VL02,HSP 19mm BxB,493,375,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL02 HSP 19mm BxB 493 375 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
16,10,Plint Dressing A,Massief_PM018x18PD,493,18,18,"Gannomat
Massief",,,,,,"10 Plint Dressing A Massief_PM018x18PD 493 18 18 Gannomat
Massief     ",False
16,9,Plint Dressing V,Massief_PM018x18PD,493,18,18,"Gannomat
Massief",,,,,," Plint Dressing V Massief_PM018x18PD 493 18 18 Gannomat
Massief     ",False
16,12,DR_L01,MDF 19mm AFQMxB,2545,525,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"12 DR_L01 MDF 19mm AFQMxB 2545 525 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
16,11,RG,MDF 5mm BxB,1952,505,5,"Reichenbach
er",,,,,," RG MDF 5mm BxB 1952 505 5 Reichenbach
er     ",False
16,0,BC,HSP 19mm BxB,963.5,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," BC HSP 19mm BxB 963.5 337 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
16,4,VL,HSP 19mm BxB,963.5,375,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL HSP 19mm BxB 963.5 375 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
16,2,LL01,HSP,2,01,19,,,,,Standaard,,2 LL01 HSP 19mm BxB 491 331 19 Standaard eik eik eik eik,False
16,3,LL02,HSP,3,02,19,,,,,Standaard,,3 LL02 HSP 19mm BxB 491 331 19 Standaard eik eik eik eik,False
16,4,LL03,HSP,4,03,19,,,,,Standaard,,4 LL03 HSP 19mm BxB 491 331 19 Standaard eik eik eik eik,False
16,5,LZ,HSP,5,19,2573,,,,,Standaard,,5 LZ HSP 19mm BxB 2573 376 19 Standaard eik eik eik eik,False
16,6,OC,HSP,6,19,493,,,,,Standaard,,6 OC HSP 19mm BxB 493 355 19 Standaard eik eik,False
16,7,RZ,HSP,7,19,2573,,,,,Standaard,,7 RZ HSP 19mm BxB 2573 376 19 Standaard eik eik eik eik,False
16,8,VL01,HSP,8,01,19,,,,,Standaard,,8 VL01 HSP 19mm BxB 493 331 19 Standaard eik,False
16,9,VL02,HSP,9,02,19,,,,,Standaard,,9 VL02 HSP 19mm BxB 493 375 19 Standaard eik eik,False
16,10,Plint,Dressing,10,018,18,,,,,,,10 Plint Dressing A Massief_PM018x18PD 493 18 18,False
16,12,DR_L01,MDF,12,01,19,,,,,Standaard,,12 DR_L01 MDF 19mm AFQMxB 2545 525 19 Standaard eik eik eik eik,False
16,13,RG,MDF,13,5,1952,,,,,,,13 RG MDF 5mm BxB 1952 505 5,False
16,1,BC,HSP,1,19,963.5,,,,,Standaard,,1 BC HSP 19mm BxB 963.5 337 19 Standaard eik eik,False
16,5,VL,HSP,5,19,963.5,,,,,Standaard,,5 VL HSP 19mm BxB 963.5 375 19 Standaard eik eik,False
17,8,LF_01,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"8 LF_01 MDF 19mm AFQMxB 1000 243.5 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
17,1,LF_02,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LF_02 MDF 19mm AFQMxB 1000 243.5 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
17,10,RG,MDF 5mm BxB,975.5,248.5,5,"Reichenbach
er",,,,,,"10 RG MDF 5mm BxB 975.5 248.5 5 Reichenbach
er     ",False
17,0,BC,HSP 19mm BxB,965,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," BC HSP 19mm BxB 965 337 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
17,2,LZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"2 LZ HSP 19mm BxB 564 376 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Hoeken recht frezen, met de hand afsjangen",False
17,2,OC,HSP 19mm BxB,965,355,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," OC HSP 19mm BxB 965 355 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
17,4,RZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"4 RZ HSP 19mm BxB 564 376 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Hoeken recht frezen, met de hand afsjangen",False
17,4,VL,HSP 19mm BxB,965,310,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," VL HSP 19mm BxB 965 310 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
17,6,Plint Dressing A,Massief_PM018x18PD,965,18,18,"Gannomat
Massief",,,,,,"6 Plint Dressing A Massief_PM018x18PD 965 18 18 Gannomat
Massief     ",False
17,6,Plint Dressing V,Massief_PM018x18PD,965,18,18,"Gannomat
Massief",,,,,," Plint Dressing V Massief_PM018x18PD 965 18 18 Gannomat
Massief     ",False
17,8,LF_03,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"8 LF_03 MDF 19mm AFQMxB 1000 243.5 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
17,8,Valklep,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," Valklep MDF 19mm AFQMxB 1000 243.5 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
17,8,LF_01,MDF,8,01,19,,,,,Standaard,,8 LF_01 MDF 19mm AFQMxB 1000 243.5 19 Standaard eik eik eik eik,False
17,9,LF_02,MDF,9,02,19,,,,,Standaard,,9 LF_02 MDF 19mm AFQMxB 1000 243.5 19 Standaard eik eik eik eik,False
17,10,RG,MDF,10,5,975.5,,,,,,,10 RG MDF 5mm BxB 975.5 248.5 5,False
17,1,BC,HSP,1,19,965,,,,,Standaard,,1 BC HSP 19mm BxB 965 337 19 Standaard eik eik,False
17,2,LZ,HSP,2,19,564,,,,,Standaard,,"2 LZ HSP 19mm BxB 564 376 19 Standaard eik eik eik eik Hoeken recht frezen, met de hand afsjangen",False
17,3,OC,HSP,3,19,965,,,,,Standaard,,3 OC HSP 19mm BxB 965 355 19 Standaard eik eik,False
17,4,RZ,HSP,4,19,564,,,,,Standaard,,"4 RZ HSP 19mm BxB 564 376 19 Standaard eik eik eik eik Hoeken recht frezen, met de hand afsjangen",False
17,5,VL,HSP,5,19,965,,,,,Standaard,,5 VL HSP 19mm BxB 965 310 19 Standaard eik eik,False
17,6,Plint,Dressing,6,018,18,,,,,,,6 Plint Dressing A Massief_PM018x18PD 965 18 18,False
17,8,LF_03,MDF,8,03,19,,,,,Standaard,,8 LF_03 MDF 19mm AFQMxB 1000 243.5 19 Standaard eik eik eik eik,False
17,9,Valklep,MDF,9,19,1000,,,,,Standaard,,9 Valklep MDF 19mm AFQMxB 1000 243.5 19 Standaard eik eik eik eik,False
18,0,OC,HSP 19mm BxB,966.5,355,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,," OC HSP 19mm BxB 966.5 355 19 Standaard Fineer
eik
1mm Fineer
eik
1mm   ",False
18,4,RZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"4 RZ HSP 19mm BxB 564 376 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Hoeken recht frezen, met de hand afsjangen",False
18,2,VL,HSP 19mm BxB,966.5,340,19,Standaard,,"Fineer
eik
1mm",,,," VL HSP 19mm BxB 966.5 340 19 Standaard  Fineer
eik
1mm   ",False
18,6,Plint Dressing A,Massief_PM018x18PD,966.5,18,18,"Gannomat
Massief",,,,,,"6 Plint Dressing A Massief_PM018x18PD 966.5 18 18 Gannomat
Massief     ",False
18,4,Plint Dressing V,Massief_PM018x18PD,966.5,18,18,"Gannomat
Massief",,,,,," Plint Dressing V Massief_PM018x18PD 966.5 18 18 Gannomat
Massief     ",False
18,8,LF_04,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",,"8 LF_04 MDF 19mm AFQMxB 1000 243.5 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
18,6,LF_05,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",," LF_05 MDF 19mm AFQMxB 1000 243.5 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm ",False
18,10,RG,MDF 5mm BxB,978.5,525,5,"Reichenbach
er",,,,,,"10 RG MDF 5mm BxB 978.5 525 5 Reichenbach
er     ",False
18,Plank,MDF 31mm BxB,453,313,31,"Reichenbach
er",,,,,,,"Plank MDF 31mm BxB 453 313 31 Reichenbach
er Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm",False
18,Rondel tv steun,BRUT MDF 18MM,60,60,18,Te bestellen,,,,,,,Rondel tv steun BRUT MDF 18MM 60 60 18 Te bestellen    ,True
18,3,OC,HSP,3,19,966.5,,,,,Standaard,,3 OC HSP 19mm BxB 966.5 355 19 Standaard eik eik,False
18,4,RZ,HSP,4,19,564,,,,,Standaard,,"4 RZ HSP 19mm BxB 564 376 19 Standaard eik eik eik eik Hoeken recht frezen, met de hand afsjangen",False
18,5,VL,HSP,5,19,966.5,,,,,Standaard,,5 VL HSP 19mm BxB 966.5 340 19 Standaard eik,False
18,6,Plint,Dressing,6,018,18,,,,,,,6 Plint Dressing A Massief_PM018x18PD 966.5 18 18,False
18,8,LF_04,MDF,8,04,19,,,,,Standaard,,8 LF_04 MDF 19mm AFQMxB 1000 243.5 19 Standaard eik eik eik eik,False
18,9,LF_05,MDF,9,05,19,,,,,Standaard,,9 LF_05 MDF 19mm AFQMxB 1000 243.5 19 Standaard eik eik eik eik,False
