page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
3,30,RZ,HSP,30,19,564,,,,,Standaard,,"30 RZ HSP 19mm BxB 564 376 19 Fineer eikFineer eikFineer eikFineer eik Standaard Hoeken recht frezen, met de hand afsjangen",False
3,36,TZ_01,HSP,36,01,19,,,,,Standaard,,"36 TZ_01 HSP 19mm BxB 1694 339 19 Fineer eik Standaard Hoek recht frezen, met de hand afsjangen",False
3,37,TZ_02,HSP,37,02,19,,,,,Standaard,,"37 TZ_02 HSP 19mm BxB 1694 339 19 Fineer eik Standaard Hoek recht frezen, met de hand afsjangen",False
3,38,VL,HSP,38,19,963.5,,,,,Standaard,,38 VL HSP 19mm BxB 963.5 375 19 Fineer eikFineer eik Standaard,False
3,41,VL01,HSP,41,01,19,,,,,Standaard,,41 VL01 HSP 19mm BxB 460.667 339 19 Fineer eikFineer eik Standaard,False
4,42,VL01,HSP 19mm BxB,493,331,19,"Fineer eik
1mm",,,,Standaard,,"42 VL01 HSP 19mm BxB 493 331 19 Fineer eik
1mm    Standaard ",False
4,44,VL02,HSP 19mm BxB,493,375,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,,"44 VL02 HSP 19mm BxB 493 375 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
4,5,VL03,HSP 19mm BxB,460.667,339,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,," VL03 HSP 19mm BxB 460.667 339 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
4,7,VL04,HSP 19mm BxB,340,337,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,," VL04 HSP 19mm BxB 340 337 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
4,9,VL05,HSP 19mm BxB,468.667,330,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,," VL05 HSP 19mm BxB 468.667 330 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
4,52,AFWZ_L,MDF 19mm AFQMxB,1750,395,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"52 AFWZ_L MDF 19mm AFQMxB 1750 395 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard B=20mm overmaat",False
4,54,AFWZ_R,MDF 19mm AFQMxB,569,396,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"54 AFWZ_R MDF 19mm AFQMxB 569 396 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard L+B=20mm overmaat",False
4,15,BB,MDF 19mm AFQMxB,1000,469,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,," BB MDF 19mm AFQMxB 1000 469 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
4,58,DR_L01,MDF 19mm AFQMxB,1100,484.667,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"58 DR_L01 MDF 19mm AFQMxB 1100 484.667 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
4,60,DR_L02,MDF 19mm AFQMxB,599,484.667,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"60 DR_L02 MDF 19mm AFQMxB 599 484.667 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
4,19,DR_R03,MDF 19mm AFQMxB,599,484.667,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,," DR_R03 MDF 19mm AFQMxB 599 484.667 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
4,62,DR_R04,MDF 19mm AFQMxB,1100,484.667,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"62 DR_R04 MDF 19mm AFQMxB 1100 484.667 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
4,21,DR_R05,MDF 19mm AFQMxB,599,484.667,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,," DR_R05 MDF 19mm AFQMxB 599 484.667 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
4,42,VL01,HSP,42,01,19,,,,,Standaard,,42 VL01 HSP 19mm BxB 493 331 19 Fineer eik Standaard,False
4,44,VL02,HSP,44,02,19,,,,,Standaard,,44 VL02 HSP 19mm BxB 493 375 19 Fineer eikFineer eik Standaard,False
4,47,VL03,HSP,47,03,19,,,,,Standaard,,47 VL03 HSP 19mm BxB 460.667 339 19 Fineer eikFineer eik Standaard,False
4,49,VL04,HSP,49,04,19,,,,,Standaard,,49 VL04 HSP 19mm BxB 340 337 19 Fineer eikFineer eik Standaard,False
4,51,VL05,HSP,51,05,19,,,,,Standaard,,51 VL05 HSP 19mm BxB 468.667 330 19 Fineer eikFineer eik Standaard,False
4,52,AFWZ_L,MDF,52,19,1750,,,,,Standaard,,52 AFWZ_L MDF 19mm AFQMxB 1750 395 19 Fineer eikFineer eikFineer eikFineer eik Standaard B=20mm overmaat,False
4,54,AFWZ_R,MDF,54,19,569,,,,,Standaard,,54 AFWZ_R MDF 19mm AFQMxB 569 396 19 Fineer eikFineer eikFineer eikFineer eik Standaard L+B=20mm overmaat,False
4,57,BB,MDF,57,19,1000,,,,,Standaard,,57 BB MDF 19mm AFQMxB 1000 469 19 Fineer eikFineer eikFineer eikFineer eik Standaard Borstellen,False
4,58,DR_L01,MDF,58,01,19,,,,,Standaard,,58 DR_L01 MDF 19mm AFQMxB 1100 484.667 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
4,60,DR_L02,MDF,60,02,19,,,,,Standaard,,60 DR_L02 MDF 19mm AFQMxB 599 484.667 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
4,61,DR_R03,MDF,61,03,19,,,,,Standaard,,61 DR_R03 MDF 19mm AFQMxB 599 484.667 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
4,62,DR_R04,MDF,62,04,19,,,,,Standaard,,62 DR_R04 MDF 19mm AFQMxB 1100 484.667 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
4,63,DR_R05,MDF,63,05,19,,,,,Standaard,,63 DR_R05 MDF 19mm AFQMxB 599 484.667 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
5,64,LF_01,MDF 19mm AFQMxB,981,250,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"64 LF_01 MDF 19mm AFQMxB 981 250 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard Borstellen",False
5,66,LF_02,MDF 19mm AFQMxB,981,250,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"66 LF_02 MDF 19mm AFQMxB 981 250 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard Borstellen",False
5,68,LF_03,MDF 19mm AFQMxB,1000,243.5,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"68 LF_03 MDF 19mm AFQMxB 1000 243.5 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
5,5,LF_04,MDF 19mm AFQMxB,1000,243.5,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,," LF_04 MDF 19mm AFQMxB 1000 243.5 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
