,OC,HSP 19mm BxB,966.5,355,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
4,RZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Hoeken recht frezen, met de hand afsjangen"
,VL,HSP 19mm BxB,966.5,340,19,Standaard,,"Fineer
eik
1mm",,,
6,Plint Dressing A,Massief_PM018x18PD,966.5,18,18,"Gannomat
Massief",,,,,
,Plint Dressing V,Massief_PM018x18PD,966.5,18,18,"Gannomat
Massief",,,,,
8,LF_04,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",
,LF_05,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",
10,RG,MDF 5mm BxB,978.5,525,5,"Reichenbach
er",,,,,
