,BC,HSP 19mm BxB,963.5,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
2,LZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Hoeken recht frezen, met de hand afsjangen"
,OC,HSP 19mm BxB,963.5,355,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
4,RZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Hoeken recht frezen, met de hand afsjangen"
,VL,HSP 19mm BxB,963.5,375,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
6,Plint Dressing A,Massief_PM018x18PD,963.5,18,18,"Gannomat
Massief",,,,,
,Plint Dressing V,Massief_PM018x18PD,963.5,18,18,"Gannomat
Massief",,,,,
