,BC,HSP 19mm BxB,965,337,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
2,LZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Hoeken recht frezen, met de hand afsjangen"
,OC,HSP 19mm BxB,965,355,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
4,RZ,HSP 19mm BxB,564,376,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Hoeken recht frezen, met de hand afsjangen"
,VL,HSP 19mm BxB,965,310,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm",,,
6,Plint Dressing A,Massief_PM018x18PD,965,18,18,"Gannomat
Massief",,,,,
,Plint Dressing V,Massief_PM018x18PD,965,18,18,"Gannomat
Massief",,,,,
8,LF_03,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",
,Valklep,MDF 19mm AFQMxB,1000,243.5,19,Standaard,"Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm","Fineer
eik
1mm",
10,RG,MDF 5mm BxB,977,525,5,"Reichenbach
er",,,,,
