,AS,Massief_PM___x14ZS,925,160,14,"Gannomat
Massief",,,,,
2,ZS_L,Massief_PM___x14ZS,300,160,14,"Gannomat
Massief",,,,,
,ZS_R,Massief_PM___x14ZS,300,160,14,"Gannomat
Massief",,,,,
4,Bodem,MDF 13mm BxB,934,295,13,"Reichenbach
er",,,,,
