 1089,36404810725
 579,210787170388
 4440,06309122056
 1266,90483489391
 4506,40278232675
 264,892784940303
 2543,89694070679
 2428,22162201413
 303,994239890884
 265,132553810561
 159,077177865514
 744,958561477878
 502,498574087451
 502,498574087451
 502,498574087451
 1090,46565453592
 1095,65876345941
 448,814383296885
 582,098406972346
 582,098406972346
 300,578065698053
 299,739365402242
 299,739365402242
 300,578065698053
 300,578065698053
 285,462241737261
 325,258231484786
 338,822311375188
 305,67447039062
 799,221022121967
 447,312823395178
 632,308571933058
 836,950251161747
 910,813721973879
 717,560550872931
 1090,46734770358
 403,800848927276
 431,647719476516
 677,080915011301
 127,489946138245
 184,616890126919
 463,792537189262
 254,696593334439
 332,242896221652
 162,897445980757
 681,293814407439
 209,813566960672
 209,813566960672
 209,813566960672
 210,202948894755
 207,276834609041
 272,069611002232
 278,793166243064
 393,858672096176
 1154,8661211815
 154,49676135758
 477,707826518139
 1022,02722669206
 537,9976063961
 355,595252217276
 3136,33956193833
 2740,74419845807
 2740,74419845807
 659,773215447176
 331,228738484437
 2621,00773376752
 1287,16040826099
 722,28055462889
 131,812471752506
 609,960633578573
 208,811076645086
 472,822319675138
 152,281607691952
 1547,17795196859
 1001,8735154595
 1809,79749958584
 589,686769643034
 332,282334451084
 1434,98678493289
 1099,97358740466
 119,661945707194
 156,611200155848
 2784,03213345165
 2171,94789489485
 1355,27897584092
 518,798869619667
 940,267739915826
 251,165492170001
 151,065644454017
 149,460357409356
 149,460357409356
 243,968451641867
 2255,36449194993
 1149,69983495465
 952,855823088092
 757,898569016858
 1160,67069725377
 1561,49723380839
 1089,09521744068
 404,841307566651
 1853,46139968409
 1853,46139968409
 1495,72058137496
 348,567438291548
 1284,97979357581
 1799,2780608718
 540,533417121899
 964,045118749791
 1702,2430551772
 111,269478984512
 494,250506827469
 541,625260415968
 585,316857222656
 585,316857222656
 856,138186381828
 856,140893381535
 1263,47853400474
 1037,15649788683
 584,109273749615
 1630,56360202707
 655,840354960151
 498,232327076012
 224,822184060087
 269,028138506417
 685,070541623393
 1270,60844484689
 866,25340211675
 326,791280081341
 1610,78510535607
 1068,95285308029
 2075,18199949255
 388,91242910941
 274,91242910941
 1093,97397933634
 825,606038954838
 561,961194544125
 331,749103597226
 2143,71231076887
 1872,55096233891
 773,669957108873
 673,618032101153
 835,797235797728
 835,567192014186
 313,243150829844
 191,115419115
 2013,98673088013
 982,55575282236
 375,209426834391
 52,8348156907352
 60,6368855678784
 2170,12357241364
 65,7376502090955
 65,7981922176821
 520,100756377689
 205,362753917362
 6652,65152548878
 6652,65152548878
 6652,65152548878
 4736,2363013166
 1351,99582799165
 356,446417889438
 1246,0993300717
 1500,15849889739
 1500,10548184932
 1500,10548184932
 1500,10548184932
 1468,17493469934
 1585,56653079047
 2568,57247564922
 2217,14592939959
 1370,76877857465
 2771,27621551437
 2771,27706974169
 319,380604007344
 309,566041617907
 173,486953381727
 167,369835694599
 197,674628357579
 173,491564248297
 687,011019324202
 688,702064916012
 135,603418205164
 319,385227057452
 569,522246398796
 984,939560785755
 355,646405097486
 523,645406431294
 523,652078995731
 523,645406431294
 144,607004246636
 365,658895202477
 365,64152816496
 1047,40423255989
 1464,40980548164
 1464,40980538099
 1464,40980548164
 1090,72689839822
 1370,7535436988
 1090,72689839822
 1383,36818362701
 1090,4657257701
 1612,08617698911
 310,110597242937
 135,600146216496
 686,980669830617
 167,36725326818
 487,157650983134
 519,190119877917
 297,611155779631
 333,751040579277
 326,200729625122
 61,5811348412174
 169,020393934006
 703,18983530195
 453,07132857838
 1124,44565077189
 487,154632437759
 405,870211915079
 134,565853555419
 773,682262121194
 135,600964285136
 453,080167253515
 326,201456939038
 241,861747492291
 169,021036362744
 527,781958809376
 527,781958809376
 127,78170263869
 682,646193471958
 2143,98405128885
 592,259549824937
 1090,46868587277
 203,455998560044
 770,793280757238
 628,176993356636
 628,176993356636
 628,176993356636
 241,974540193104
 1039,0285691452
 2460,69513797466
 850,051018751129
 326,207274047609
 135,528660945874
 733,831789707048
 169,051684496689
 1528,07294810764
 1528,07294810764
 1036,68948131016
 1730,06504494778
 1383,37726312897
 650,624232630264
 142,968939868349
 29,9411163746834
 683,731052923657
 516,201325899055
 988,115279526407
 134,303415188215
 712,759803797753
 193,917930954591
 163,47555410045
 163,47555410045
 163,47555410045
 163,47555410045
 276,473620017725
 308,489054349264
 584,41286815906
 121,206699867389
 2307,80642822086
 1543,92469051966
 2424,33179890174
 2883,87017152923
 2883,87017152923
 2883,87017152923
 2883,87017152923
 980,972850266127
 748,181229482133
 1185,74396767444
 1489,55465067127
 909,638827978962
 909,638827978962
 909,638827978962
 909,638827978962
 724,13492600462
 2057,51518724753
 375,72868871387
 689,635779467473
 1090,47303315897
 181,826590237837
 150,699580454279
 851,870618453202
 881,739771092655
 765,403260029592
 1151,84312745479
 1151,84312745479
 2574,04465560696
 191,885243499324
 607,998329139037
 1185,80187197052
 798,044909210859
 350,213780187655
 1022,91459680639
 155,899768816804
 126,504508427738
 236,160909932755
 236,478080748221
 308,482751807618
 559,258287346079
 2807,89108114588
 1254,96670104956
 490,108294980287
 820,359176279541
 649,884523553204
 550,324994263774
 1011,33286550387
 1246,59582900209
 208,999202498933
 175,540159365602
 950,956445384567
 182,059934468527
 155,898736126696
 2312,153941836
 240,852503141308
 28,1618159176448
 1162,84167531886
 853,440411561746
 19,8643537554041
 19,8643537554041
 260,700187170316
 657,661121136521
 557,896697705236
 191,096533538459
