TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202024;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;80;000395-2021-01-14(104049-7732329)-80-24
0000001512202023;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;80;000395-2021-01-14(104049-7732329)-80-23
0000001512202018;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;80;000395-2021-01-14(104049-7732329)-80-18
