TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202024;1203;253;19;4;0;80;2;0;80;3;0;7;1;0;7;5;124;000395-2021-02-01(090854-3944113)-124-24
0000001512202018;600;253;19;4;0;80;2;0;80;3;0;7;1;0;7;5;124;000395-2021-02-01(090854-3944113)-124-18
0000001512202023;600;253;19;4;0;80;2;0;80;3;0;7;1;0;7;5;124;000395-2021-02-01(090854-3944113)-124-23
