TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202019;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;6;119;000395-2021-01-19(084724-5705312)-119-19
0000001512202033;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;6;119;000395-2021-01-19(084724-5705312)-119-33
0000001512202020;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;119;000395-2021-01-19(084724-5705312)-119-20
0000001512202021;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;119;000395-2021-01-19(084724-5705312)-119-21
0000001512202022;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;6;119;000395-2021-01-19(084724-5705312)-119-22
