TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000015122020105;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102613-9683685)-96-105
0000015122020106;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102613-9683685)-96-106
0000015122020107;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102613-9683685)-96-107
0000015122020108;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102613-9683685)-96-108
