TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202021;600;509;19;4;0;7;2;0;7;3;0;8;1;0;8;5;100;000395-2021-01-11(150746-439650644)-100-21
0000001512202019;600;509;19;4;0;7;2;0;7;3;0;8;1;0;8;5;100;000395-2021-01-11(150746-439650644)-100-19
0000001512202020;600;509;19;4;0;7;2;0;7;3;0;8;1;0;8;5;100;000395-2021-01-11(150746-439650644)-100-20
0000001512202057;400;486;19;2;0;7;4;0;7;3;0;8;1;0;8;2;103;000395-2021-01-11(150746-439650644)-103-57
0000001512202052;400;486;19;2;0;7;4;0;7;3;0;8;1;0;8;2;103;000395-2021-01-11(150746-439650644)-103-52
