TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202017;600;509;19;4;0;80;2;0;80;3;0;7;1;0;7;6;113;000395-2021-02-01(081158-528122)-113-17
0000001512202018;600;509;19;4;0;80;2;0;80;3;0;7;1;0;7;6;113;000395-2021-02-01(081158-528122)-113-18
0000001512202041;1203;253;19;4;0;80;2;0;80;3;0;7;1;0;7;1;114;000395-2021-02-01(081158-528122)-114-41
0000001512202036;600;253;19;4;0;80;2;0;80;3;0;7;1;0;7;1;114;000395-2021-02-01(081158-528122)-114-36
