TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202042;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;5;82;000395-2021-01-12(083726-502631502)-82-42
0000001512202041;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;5;82;000395-2021-01-12(083726-502631502)-82-41
0000001512202021;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;80;000395-2021-01-12(083726-502631502)-80-21
0000001512202016;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;80;000395-2021-01-12(083726-502631502)-80-16
