TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202017;600;765;19;4;0;80;2;0;80;3;0;7;1;0;7;2;127;000395-2021-02-03(075828-138229)-127-17
0000001512202033;600;765;19;4;0;80;2;0;80;3;0;7;1;0;7;2;127;000395-2021-02-03(075828-138229)-127-33
0000001512202034;600;765;19;4;0;80;2;0;80;3;0;7;1;0;7;2;127;000395-2021-02-03(075828-138229)-127-34
0000001512202018;600;509;19;4;0;80;2;0;80;3;0;7;1;0;7;2;127;000395-2021-02-03(075828-138229)-127-18
0000001512202029;600;509;19;3;0;7;1;0;7;4;0;82;2;0;82;2;127;000395-2021-02-03(075828-138229)-127-29
0000001512202019;1203;253;19;4;0;80;2;0;80;3;0;7;1;0;7;2;127;000395-2021-02-03(075828-138229)-127-19
