TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000015122020160;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;2;19;000395-2020-12-15(132355-17541376)-19-160
0000015122020118;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;5;16;000395-2020-12-15(132355-17541376)-16-118
0000015122020119;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;5;16;000395-2020-12-15(132355-17541376)-16-119
0000015122020127;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;5;16;000395-2020-12-15(132355-17541376)-16-127
0000015122020144;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;6;17;000395-2020-12-15(132355-17541376)-17-144
0000015122020139;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;6;17;000395-2020-12-15(132355-17541376)-17-139
0000015122020161;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;2;19;000395-2020-12-15(132355-17541376)-19-161
