TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202018;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;6;89;000395-2021-01-05(130744-271685)-89-18
0000001512202019;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;89;000395-2021-01-05(130744-271685)-89-19
0000001512202020;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;89;000395-2021-01-05(130744-271685)-89-20
0000001512202021;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;6;89;000395-2021-01-05(130744-271685)-89-21
