TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202079;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;6;65;000395-2021-01-05(151821-8108392)-65-79
0000001512202080;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;65;000395-2021-01-05(151821-8108392)-65-80
0000001512202081;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;65;000395-2021-01-05(151821-8108392)-65-81
0000001512202021;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;1;60;000395-2021-01-05(151821-8108392)-60-21
0000001512202048;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;62;000395-2021-01-05(151821-8108392)-62-48
0000001512202082;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;6;65;000395-2021-01-05(151821-8108392)-65-82
0000001512202016;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;1;60;000395-2021-01-05(151821-8108392)-60-16
0000001512202042;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;62;000395-2021-01-05(151821-8108392)-62-42
0000001512202047;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;62;000395-2021-01-05(151821-8108392)-62-47
