;Materiaal;Dikte;Nerf;Lengte;Breedte;Aantal platen;Referentie;Bemerking;Referentie nummer
596;HSP 18mm MELxMEL zwart;18;A;2800;1510;1;736;Bulo;1070
597;HSP 25mm MELxMEL zwart;25;A;2800;1620;1;738;Bulo;1071
598;BRUT MDF 9MM GROEN;9;A;1470;695;1;122;;13519
599;BRUT MDF 18MM;18;A;2480;460;1;133;;13532
600;HSP 12mm MELxMEL zwart;12;A;1465;630;1;737;Bulo;13536
601;MDF 31mm AFQMxB;31;H;1680;490;1;665;Reststrook GP00031236;13541
602;HSP 16mm melamine lichtgrijs;16;A;2650;2100;19;742;;742
603;HSP 12mm MELxMEL wit;12;A;970;655;1;734;Bulo;13542
604;MDF 13mm AWxB;13;H;2440;450;1;623;;13544
605;MDF 13mm BxB;13;H;2800;370;1;621;Reststrook GP00031210;13545
606;MDF 13mm AWxB;13;H;1605;1215;1;623;;13546
607;MDF 5mm BxB;5;H;1110;1220;1;610;;13547
608;MDF 5mm BxB;5;H;1030;1220;1;610;;13549
609;HSP 23mm BxB;23;H;800;700;1;730;;13553
610;HSP 18mm MELxMEL wit;18;A;950;615;1;732;Bulo;13554
611;HSP 12mm MELxMEL wit;12;A;1290;620;1;734;Bulo;13555
612;HSP 28mm MELxMEL wit;28;A;2230;1635;1;735;;1055
613;HSP 28mm MELxMEL wit;28;A;1810;1210;1;735;;1066
614;MULTI BERK 15mm;15;A;2170;750;1;252;GP00008287;1073
615;BRUT MDF 22MM;22;A;2600;620;22;146;;147
616;MULTI BERK 15mm;15;A;1890;1170;1;252;GP00008287;1074
617;MDF 19mm EikAwerenxB;19;H;780;620;1;640;Reststrook GP00031231;13556
618;MULTI BERK 15mm;15;A;2510;645;1;252;GP00008287;13564
619;BRUT MDF 3MM;3;A;1215;940;1;100;;13572
620;BRUT MDF 12MM;12;A;890;540;1;130;;13577
621;MULTI BERK 15mm;15;A;590;500;1;252;GP00008287;13579
622;HDF 4 zwart;4;A;1970;550;1;150;;13581
623;HDF 3 ZwartxBrut;3;A;2480;645;1;151;GP00031167;13582
624;MDF 23mm BxB;23;H;1360;305;1;662;Reststrook GP00031253;13583
625;MDF 23mm BxB;23;H;1420;625;1;662;;13584
626;MDF 5mm BxB;5;H;1055;885;1;610;;13590
627;HSP 18mm Melamine Alu-Grijs;18;H;2025;1870;1;729;;1046
628;HSP 25mm MELxMEL zwart;25;A;2490;1200;1;738;Bulo;1018
629;HSP 18mm Melamine Alu-Grijs;18;H;1050;565;1;729;;13595
630;MDF 13mm BxB;13;H;1995;405;1;621;Reststrook GP00031210;13598
631;MDF 13mm AFQMxB;13;H;500;2065;1;620;GP00031211;13601
632;MDF 13mm BxB;13;H;2800;405;1;621;Reststrook GP00031210;13604
633;HSP 25mm MELxMEL wit;25;A;1130;415;1;731;Bulo;13607
634;HSP 18mm MELxMEL wit;18;A;1635;985;1;732;Bulo;13609
635;HSP 18mm MELxMEL zwart;18;A;645;530;1;736;Bulo;13611
636;HSP 18mm MELxMEL zwart;18;A;1205;530;1;736;Bulo;13612
637;HSP 19mm BxB;19;H;505;1025;1;720;GP00031230;13615
638;HSP 19mm BxB;19;H;505;1025;1;720;GP00031230;13616
639;HSP 19mm BxB;19;H;2790;380;1;720;GP00031230;13618
640;HSP 12mm MELxMEL wit;12;A;1560;550;1;734;Bulo;13619
641;HSP 12mm MELxMEL wit;12;A;1480;790;1;734;Bulo;13620
642;HSP 12mm MELxMEL wit;12;A;1320;880;1;734;Bulo;13621
643;HSP 12mm MELxMEL wit;12;A;1480;1330;1;734;Bulo;13622
644;HSP 28mm MELxMEL wit;28;A;550;450;1;735;;13623
645;MDF 13mm BxB;13;H;460;1330;1;621;Reststrook GP00031210;13629
646;MDF 13mm AFQMxB;13;H;1665;715;1;620;;13630
647;Fenix 029 WIT;18;A;3050;1220;1;13;;13
648;MDF 31mm NOOTxNOOT;31;H;1385;400;1;669;Reststrook  GP00030996;13631
649;MDF 31mm NOOTxNOOT;31;H;1390;625;1;669;Reststrook  GP00030996;13632
650;MDF 19mm EikAwerenxB;19;H;810;560;1;640;;13637
651;MDF 23mm BxB;23;H;2810;595;1;662;;13640
652;MDF 31mm AFQMxB;31;H;1170;0;1;665;Reststrook GP00031236;13641
653;MDF 31mm AFQMxB;31;H;1170;625;1;665;Reststrook GP00031236;13642
654;MDF 31mm AFQMxB;31;H;1605;345;1;665;Reststrook GP00031236;13643
655;MDF 23mm AFQMxB;23;H;1100;440;1;660;Reststrook GP00031251;13651
656;BRUT MDF 3MM;3;A;2800;605;1;100;;13653
657;MDF 31mm BxB;31;H;2790;305;1;667;Reststrook GP00031235;13654
658;HSP 16mm melamine lichtgrijs;16;A;2650;1640;1;742;;1025
659;MDF 31mm BxB;31;H;800;650;1;667;;13321
660;MDF 31mm BxB;31;H;800;650;1;667;;13322
661;MDF 31mm BxB;31;H;1000;700;1;667;;13551
662;MDF 31mm BxB;31;H;2790;485;1;667;Reststrook GP00031235;13573
663;MDF 31mm BxB;31;H;1575;625;1;667;Reststrook GP00031235;13602
664;HSP 23mm BxB;23;H;2790;340;1;730;GP00031250;13656
665;HSP 23mm BxB;23;H;985;2060;1;730;;13657
666;MDF 5mm BxB;5;H;1505;975;1;610;;13660
667;MDF 19mm AFQMxB;19;H;395;935;1;650;Reststrook GP00031232;13662
668;BRUT MDF 3MM;3;A;1220;925;1;100;;13664
669;HSP 19mm BxB;19;H;810;625;1;720;;13665
670;MDF 23mm BxB;23;H;1020;2070;1;662;;13666
671;MDF 19mm AFQMxB;19;H;2795;250;1;650;Reststrook GP00031232;13670
672;MDF 31mm NOOTxNOOT;31;H;3050;875;1;669;Reststrook  GP00030996;13672
673;HSP 23mm BxB;23;A;2795;440;1;730;GP00031250;13673
674;MDF Zwart 19mm NOOTxNOOT;19;H;3050;815;1;675;GP00031192;13675
675;MDF 23mm BxB;23;H;2410;630;1;662;GP00031253;13681
676;Massief Grenen 20;20;H;3000;45;100;;;100188
677;HSP 18mm AxA BULO;18;H;700;395;1;714;;13684
678;HSP 18mm AxA BULO;18;H;2800;560;1;714;;13685
679;HSP 18mm AxA BULO;18;H;830;695;1;714;;13686
680;BRUT MDF 25MM;25;A;2800;2070;3;137;;137
681;HSP 32mm MELxMEL wit;32;A;2800;1630;1;733;Bulo;1004
682;BRUT MDF 30MM;30;A;2310;710;1;140;GB00031307;1010
683;HSP 12mm MELxMEL wit;12;A;2800;1575;1;734;Bulo;1013
684;BRUT MDF 22MM;22;A;2070;1585;1;146;;1023
685;HSP 18mm MELxMEL wit;18;A;2345;2070;1;732;Bulo;1026
686;HSP 18mm MELxMEL zwart;18;A;2800;890;1;736;Bulo;1035
687;MULTI BERK 24mm;24;H;2500;1010;1;253;GP00008264;1050
688;BRUT MDF 3MM;3;A;1635;1200;1;100;;13687
689;BRUT MDF 3MM;3;A;3050;985;1;100;;1044
690;MDF 13mm AFQMxB;13;H;1520;740;1;620;GP00031211;13689
691;MDF 7mm AFQMxB;7;H;1515;1310;1;490;;13690
692;MDF 7mm AFQMxB;7;H;1515;1310;1;490;;13691
