1;Fenix 720 ZWART nero;3050;1220;18;1;7;0;7;7;0;0;0;0;0;0;HOOFD NR      ;0;0
2;Fenix 750 GROEN verde;3050;1220;18;2;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
3;Fenix 751 ROSSO jaipur;3050;1220;18;3;1;0;1;1;0;0;0;0;0;0;HOOFD NR      ;0;0
4;Fenix 789 ROSSO namib;3050;1220;18;4;0;0;0;0;0;0;0;0;0;0;              ;0;0
5;Fenix 719 BEIGE luxor;3050;1220;18;5;0;0;0;0;0;0;0;0;0;0;              ;0;0
7;Fenix 754 BLAUW blu fes;3050;1220;18;7;0;0;0;0;0;0;0;0;0;0;              ;0;0
8;Bodem 3050x800;3050;800;10;8;0;0;0;0;0;0;0;0;0;0;              ;0;0
9;Bodem 3050x1300;3050;1300;19;9;15;0;15;15;0;0;0;0;0;0;              ;0;0
10;Bodem 2800x800;2800;800;8;10;1;0;1;1;0;0;0;0;0;0;              ;0;0
11;;0;0;0;0;21;0;21;21;0;0;0;0;0;0;              ;0;0
12;Bodem 2800x1250;2800;2070;8;12;4;0;4;4;0;0;0;0;0;0;              ;0;0
13;Bodem 2800x1300;2800;1300;12;13;0;0;0;0;0;0;0;0;0;0;              ;0;0
14;Bodem 1800x630;1800;630;19;14;4;0;4;4;0;0;0;0;0;0;              ;0;0
15;Bodem 2300x630;2300;630;19;15;4;0;4;4;0;0;0;0;0;0;              ;0;0
16;Bodem 2800x630;2800;630;19;16;4;0;4;4;0;0;0;0;0;0;              ;0;0
20;Dekplaat HSP 8MM;2800;2070;8;20;2;0;2;2;0;0;0;0;0;0;              ;0;0
21;Dekplaat HSP 12MM;2800;1300;12;21;0;0;0;0;0;0;0;0;0;0;              ;0;0
22;Dekplaat HSP 12MM;3050;1300;12;22;0;0;0;0;0;0;0;0;0;0;              ;0;0
23;Dekplaat 3050x1300;3050;1300;23;23;4;0;4;4;0;0;0;0;0;0;              ;0;0
24;Dekplaat HSP 12MM melamine;2505;1250;12;24;0;0;0;0;0;0;0;0;0;0;              ;0;0
25;Dekplaat HSP 15mm;2360;2070;15;25;1;0;1;1;0;0;0;0;0;0;              ;0;0
26;Dekplaat MDF 10MM;2800;2070;10;26;5;0;5;5;0;0;0;0;0;0;              ;0;0
27;Dekplaat MDF 8MM;2800;2070;8;27;21;0;21;21;0;0;0;0;0;0;              ;0;0
28;Dekplaat MDF 19MM;2800;2070;19;28;28;0;28;28;0;0;0;0;0;0;              ;0;0
29;Dekplaat MDF 4MM;2800;2070;4;29;7;0;7;7;0;0;0;0;0;0;              ;0;0
30;Dekplaat HSP 12MM;2800;1240;12;30;0;0;0;0;0;0;0;0;0;0;              ;0;0
31;dekplaat HSP 23mm;2800;2070;23;31;3;0;3;3;0;0;0;0;0;0;              ;0;0
32;dekplaat HSP 13mm;2800;2070;13;32;0;0;0;0;0;0;0;0;0;0;              ;0;0
33;Dekplaat HSP 18mm;2800;2070;18;33;2;0;2;2;0;0;0;0;0;0;              ;0;0
40;plooimdf 10mm BULO;2800;1030;10;40;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
50;MDF 41mm Gerookte EIK BULO;3050;1300;41;50;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
51;MDF 21mm Gerookte EIK BULO;3050;1300;21;51;2;0;2;2;0;0;0;0;0;0;HOOFD NR      ;0;0
